aid	chr1	coord1	strand1	chr2	coord2	strand2	extra
17	1	11551815	+	1	11553218	-	aid=17;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
445	1	14180679	-	2	192388262	+	aid=445;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 2}};at=N
27	1	17285059	+	1	17285684	-	aid=27;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
468	1	20520170	+	2	239465582	+	aid=468;cn={'2': {'AA': 0, 'AB': 0, 'BA': 1, 'BB': 0}};at=N
50	1	20843480	+	1	20845053	-	aid=50;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
244	1	29312664	+	3	82454562	+	aid=244;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
127	1	43914554	+	1	43920515	-	aid=127;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
335	1	57939820	+	1	117588896	-	aid=335;cn={'2': {'AA': 1, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
206	1	65332294	+	1	67565183	-	aid=206;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 1}};at=N
428	1	146357067	+	1	152933068	+	aid=428;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
202	1	149284932	+	5	67202209	-	aid=202;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
201	1	149284933	-	5	67202208	+	aid=201;cn={'2': {'AA': 0, 'AB': 0, 'BA': 1, 'BB': 0}};at=N
429	1	153057232	+	1	153058297	-	aid=429;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
430	1	153445283	+	1	153446531	-	aid=430;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
449	1	154333317	-	1	197770717	-	aid=449;cn={'2': {'AA': 0, 'AB': 1, 'BA': 0, 'BB': 0}};at=N
448	1	154333648	+	1	197770716	+	aid=448;cn={'2': {'AA': 0, 'AB': 1, 'BA': 0, 'BB': 0}};at=N
267	1	154338369	-	11	90089220	-	aid=267;cn={'2': {'AA': 0, 'AB': 0, 'BA': 1, 'BB': 0}};at=N
158	1	156990402	+	17	54572135	-	aid=158;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 1}};at=N
435	1	164087578	+	1	164096306	-	aid=435;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
440	1	175036997	+	1	175039860	-	aid=440;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
446	1	196662217	+	1	196666230	-	aid=446;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
460	1	204041551	+	1	204044260	-	aid=460;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
464	1	217494021	+	1	217497757	-	aid=464;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
394	1	217874288	+	11	134712361	+	aid=394;cn={'2': {'AA': 0, 'AB': 0, 'BA': 1, 'BB': 0}};at=N
393	1	217874289	-	11	134712197	-	aid=393;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 1}};at=N
465	1	217874515	+	1	217875685	-	aid=465;cn={'2': {'AA': 0, 'AB': 0, 'BA': 1, 'BB': 0}};at=N
395	1	217875432	-	11	134712942	-	aid=395;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
