chr	start	end	extra
1	0	99999	cn={'2': {'A': 4, 'B': 2}, '4': {'A': 3, 'B': 2}}
1	100000	249999	cn={'2': {'A': 4, 'B': 2}, '4': {'A': 3, 'B': 2}}
1	250000	399999	cn={'2': {'A': 4, 'B': 2}, '4': {'A': 3, 'B': 2}}
1	400000	549999	cn={'2': {'A': 4, 'B': 2}, '4': {'A': 3, 'B': 2}}
1	550000	599999	cn={'2': {'A': 4, 'B': 2}, '4': {'A': 3, 'B': 2}}
1	600000	649999	cn={'2': {'A': 4, 'B': 2}, '4': {'A': 3, 'B': 2}}
1	650000	699999	cn={'2': {'A': 4, 'B': 2}, '4': {'A': 3, 'B': 2}}
1	700000	849999	cn={'2': {'A': 4, 'B': 2}, '4': {'A': 3, 'B': 2}}
1	850000	936451	cn={'2': {'A': 4, 'B': 2}, '4': {'A': 3, 'B': 2}}
1	936452	936773	cn={'2': {'A': 4, 'B': 2}, '4': {'A': 3, 'B': 3}}
1	936774	949999	cn={'2': {'A': 2, 'B': 2}, '4': {'A': 2, 'B': 3}}
1	950000	1138839	cn={'2': {'A': 2, 'B': 2}, '4': {'A': 2, 'B': 3}}
1	1138840	1139038	cn={'2': {'A': 2, 'B': 2}, '4': {'A': 2, 'B': 3}}
1	1139039	1209066	cn={'2': {'A': 2, 'B': 2}, '4': {'A': 2, 'B': 3}}
1	1209067	1699999	cn={'2': {'A': 2, 'B': 2}, '4': {'A': 1, 'B': 3}}
1	1700000	1749999	cn={'2': {'A': 2, 'B': 2}, '4': {'A': 1, 'B': 3}}
1	1750000	1799999	cn={'2': {'A': 2, 'B': 2}, '4': {'A': 1, 'B': 3}}
1	1800000	1849999	cn={'2': {'A': 2, 'B': 2}, '4': {'A': 1, 'B': 3}}
1	1850000	2449999	cn={'2': {'A': 2, 'B': 2}, '4': {'A': 1, 'B': 3}}
1	2450000	2499999	cn={'2': {'A': 2, 'B': 2}, '4': {'A': 1, 'B': 3}}
1	2500000	3207808	cn={'2': {'A': 2, 'B': 2}, '4': {'A': 1, 'B': 3}}
1	3207809	3899999	cn={'2': {'A': 2, 'B': 2}, '4': {'A': 1, 'B': 3}}
1	3900000	3999999	cn={'2': {'A': 2, 'B': 2}, '4': {'A': 1, 'B': 3}}
1	4000000	4034373	cn={'2': {'A': 2, 'B': 2}, '4': {'A': 1, 'B': 3}}
1	4034374	4085488	cn={'2': {'A': 2, 'B': 2}, '4': {'A': 1, 'B': 3}}
1	4085489	4099999	cn={'2': {'A': 2, 'B': 3}, '4': {'A': 1, 'B': 3}}
1	4100000	4149999	cn={'2': {'A': 2, 'B': 3}, '4': {'A': 1, 'B': 3}}
1	4150000	4163145	cn={'2': {'A': 2, 'B': 3}, '4': {'A': 1, 'B': 3}}
1	4163146	4249999	cn={'2': {'A': 2, 'B': 2}, '4': {'A': 1, 'B': 3}}
1	4250000	4299999	cn={'2': {'A': 2, 'B': 2}, '4': {'A': 1, 'B': 3}}
1	4300000	4449999	cn={'2': {'A': 2, 'B': 2}, '4': {'A': 1, 'B': 3}}
1	4450000	4499999	cn={'2': {'A': 2, 'B': 2}, '4': {'A': 1, 'B': 3}}
1	4500000	4599999	cn={'2': {'A': 2, 'B': 2}, '4': {'A': 1, 'B': 3}}
1	4600000	4649999	cn={'2': {'A': 2, 'B': 2}, '4': {'A': 1, 'B': 3}}
1	4650000	4849999	cn={'2': {'A': 2, 'B': 2}, '4': {'A': 1, 'B': 3}}
1	4850000	4999999	cn={'2': {'A': 2, 'B': 2}, '4': {'A': 1, 'B': 3}}
1	5000000	5010297	cn={'2': {'A': 2, 'B': 2}, '4': {'A': 1, 'B': 3}}
1	5010298	5044876	cn={'2': {'A': 2, 'B': 2}, '4': {'A': 1, 'B': 3}}
1	5044877	5049999	cn={'2': {'A': 2, 'B': 2}, '4': {'A': 1, 'B': 3}}
1	5050000	5249999	cn={'2': {'A': 2, 'B': 2}, '4': {'A': 1, 'B': 3}}
1	5250000	5649999	cn={'2': {'A': 2, 'B': 2}, '4': {'A': 1, 'B': 3}}
1	5650000	5699999	cn={'2': {'A': 2, 'B': 2}, '4': {'A': 1, 'B': 3}}
1	5700000	5949999	cn={'2': {'A': 2, 'B': 2}, '4': {'A': 1, 'B': 3}}
1	5950000	5999999	cn={'2': {'A': 2, 'B': 2}, '4': {'A': 1, 'B': 3}}
1	6000000	6699999	cn={'2': {'A': 2, 'B': 2}, '4': {'A': 1, 'B': 3}}
1	6700000	6749999	cn={'2': {'A': 2, 'B': 2}, '4': {'A': 1, 'B': 3}}
1	6750000	6949999	cn={'2': {'A': 2, 'B': 2}, '4': {'A': 1, 'B': 3}}
1	6950000	6999999	cn={'2': {'A': 2, 'B': 2}, '4': {'A': 1, 'B': 3}}
1	7000000	7299999	cn={'2': {'A': 2, 'B': 2}, '4': {'A': 1, 'B': 3}}
1	7300000	7349999	cn={'2': {'A': 2, 'B': 2}, '4': {'A': 1, 'B': 3}}
1	7350000	7399999	cn={'2': {'A': 2, 'B': 2}, '4': {'A': 1, 'B': 3}}
1	7400000	7449999	cn={'2': {'A': 2, 'B': 2}, '4': {'A': 1, 'B': 3}}
1	7450000	7849999	cn={'2': {'A': 2, 'B': 2}, '4': {'A': 1, 'B': 3}}
1	7850000	7899999	cn={'2': {'A': 2, 'B': 2}, '4': {'A': 1, 'B': 3}}
1	7900000	7949999	cn={'2': {'A': 2, 'B': 2}, '4': {'A': 1, 'B': 3}}
1	7950000	8049999	cn={'2': {'A': 2, 'B': 2}, '4': {'A': 1, 'B': 3}}
1	8050000	8099999	cn={'2': {'A': 2, 'B': 2}, '4': {'A': 1, 'B': 3}}
1	8100000	8149999	cn={'2': {'A': 2, 'B': 2}, '4': {'A': 1, 'B': 3}}
1	8150000	8179224	cn={'2': {'A': 2, 'B': 2}, '4': {'A': 1, 'B': 3}}
1	8179225	8307113	cn={'2': {'A': 2, 'B': 2}, '4': {'A': 1, 'B': 3}}
1	8307114	8307640	cn={'2': {'A': 2, 'B': 2}, '4': {'A': 1, 'B': 3}}
1	8307641	8549999	cn={'2': {'A': 2, 'B': 2}, '4': {'A': 1, 'B': 3}}
1	8550000	8599999	cn={'2': {'A': 2, 'B': 2}, '4': {'A': 1, 'B': 3}}
1	8600000	8649999	cn={'2': {'A': 2, 'B': 2}, '4': {'A': 1, 'B': 3}}
1	8650000	8699999	cn={'2': {'A': 2, 'B': 2}, '4': {'A': 1, 'B': 3}}
1	8700000	8749999	cn={'2': {'A': 2, 'B': 2}, '4': {'A': 1, 'B': 3}}
1	8750000	8899999	cn={'2': {'A': 2, 'B': 2}, '4': {'A': 1, 'B': 3}}
1	8900000	8949999	cn={'2': {'A': 2, 'B': 2}, '4': {'A': 1, 'B': 3}}
1	8950000	8999999	cn={'2': {'A': 2, 'B': 2}, '4': {'A': 1, 'B': 3}}
1	9000000	9928499	cn={'2': {'A': 2, 'B': 2}, '4': {'A': 1, 'B': 3}}
1	9928500	10049999	cn={'2': {'A': 2, 'B': 2}, '4': {'A': 1, 'B': 3}}
1	10050000	10124999	cn={'2': {'A': 2, 'B': 2}, '4': {'A': 1, 'B': 3}}
1	10125000	10199999	cn={'2': {'A': 2, 'B': 2}, '4': {'A': 1, 'B': 3}}
1	10200000	10349999	cn={'2': {'A': 2, 'B': 2}, '4': {'A': 1, 'B': 3}}
1	10350000	10649999	cn={'2': {'A': 2, 'B': 2}, '4': {'A': 1, 'B': 3}}
1	10650000	10699999	cn={'2': {'A': 2, 'B': 2}, '4': {'A': 1, 'B': 3}}
1	10700000	11249999	cn={'2': {'A': 2, 'B': 2}, '4': {'A': 1, 'B': 3}}
1	11250000	11299999	cn={'2': {'A': 2, 'B': 2}, '4': {'A': 1, 'B': 3}}
1	11300000	11849999	cn={'2': {'A': 2, 'B': 2}, '4': {'A': 1, 'B': 3}}
1	11850000	11999999	cn={'2': {'A': 2, 'B': 2}, '4': {'A': 1, 'B': 3}}
1	12000000	12299999	cn={'2': {'A': 2, 'B': 2}, '4': {'A': 1, 'B': 3}}
1	12300000	12599999	cn={'2': {'A': 2, 'B': 2}, '4': {'A': 1, 'B': 3}}
1	12600000	12749999	cn={'2': {'A': 2, 'B': 2}, '4': {'A': 1, 'B': 3}}
1	12750000	12799999	cn={'2': {'A': 2, 'B': 2}, '4': {'A': 1, 'B': 3}}
1	12800000	12999999	cn={'2': {'A': 2, 'B': 2}, '4': {'A': 1, 'B': 3}}
1	13000000	13049999	cn={'2': {'A': 2, 'B': 2}, '4': {'A': 1, 'B': 3}}
1	13050000	13099999	cn={'2': {'A': 2, 'B': 2}, '4': {'A': 1, 'B': 3}}
1	13100000	13149999	cn={'2': {'A': 2, 'B': 2}, '4': {'A': 1, 'B': 3}}
1	13150000	13199999	cn={'2': {'A': 2, 'B': 2}, '4': {'A': 1, 'B': 3}}
1	13200000	13274999	cn={'2': {'A': 2, 'B': 2}, '4': {'A': 1, 'B': 3}}
1	13275000	13349999	cn={'2': {'A': 2, 'B': 2}, '4': {'A': 1, 'B': 3}}
1	13350000	13399999	cn={'2': {'A': 2, 'B': 2}, '4': {'A': 1, 'B': 3}}
1	13400000	13449999	cn={'2': {'A': 2, 'B': 2}, '4': {'A': 1, 'B': 3}}
1	13450000	13649999	cn={'2': {'A': 2, 'B': 2}, '4': {'A': 1, 'B': 3}}
1	13650000	13749999	cn={'2': {'A': 2, 'B': 2}, '4': {'A': 1, 'B': 3}}
1	13750000	15196301	cn={'2': {'A': 2, 'B': 2}, '4': {'A': 1, 'B': 3}}
1	15196302	15199999	cn={'2': {'A': 2, 'B': 2}, '4': {'A': 1, 'B': 2}}
1	15200000	15237989	cn={'2': {'A': 2, 'B': 2}, '4': {'A': 1, 'B': 2}}
1	15237990	15249937	cn={'2': {'A': 2, 'B': 3}, '4': {'A': 1, 'B': 3}}
1	15249938	15249999	cn={'2': {'A': 2, 'B': 2}, '4': {'A': 1, 'B': 2}}
1	15250000	15269680	cn={'2': {'A': 2, 'B': 2}, '4': {'A': 1, 'B': 2}}
1	15269681	15879779	cn={'2': {'A': 2, 'B': 2}, '4': {'A': 2, 'B': 2}}
1	15879780	15899999	cn={'2': {'A': 2, 'B': 3}, '4': {'A': 2, 'B': 3}}
1	15900000	15949999	cn={'2': {'A': 2, 'B': 3}, '4': {'A': 2, 'B': 3}}
1	15950000	15970185	cn={'2': {'A': 2, 'B': 3}, '4': {'A': 2, 'B': 3}}
1	15970186	16899999	cn={'2': {'A': 2, 'B': 2}, '4': {'A': 2, 'B': 2}}
1	16900000	16949999	cn={'2': {'A': 2, 'B': 2}, '4': {'A': 2, 'B': 2}}
1	16950000	16999999	cn={'2': {'A': 2, 'B': 2}, '4': {'A': 2, 'B': 2}}
1	17000000	17099999	cn={'2': {'A': 2, 'B': 2}, '4': {'A': 2, 'B': 2}}
1	17100000	17149999	cn={'2': {'A': 2, 'B': 2}, '4': {'A': 2, 'B': 2}}
1	17150000	17199999	cn={'2': {'A': 2, 'B': 2}, '4': {'A': 2, 'B': 2}}
1	17200000	17299999	cn={'2': {'A': 2, 'B': 2}, '4': {'A': 2, 'B': 2}}
1	17300000	21049999	cn={'2': {'A': 2, 'B': 2}, '4': {'A': 2, 'B': 2}}
1	21050000	21068728	cn={'2': {'A': 2, 'B': 2}, '4': {'A': 2, 'B': 2}}
1	21068729	21399999	cn={'2': {'A': 2, 'B': 1}, '4': {'A': 2, 'B': 1}}
1	21400000	21449999	cn={'2': {'A': 2, 'B': 1}, '4': {'A': 2, 'B': 1}}
1	21450000	21499999	cn={'2': {'A': 2, 'B': 1}, '4': {'A': 2, 'B': 1}}
1	21500000	21999999	cn={'2': {'A': 2, 'B': 1}, '4': {'A': 2, 'B': 1}}
1	22000000	22099999	cn={'2': {'A': 2, 'B': 1}, '4': {'A': 2, 'B': 1}}
1	22100000	22299999	cn={'2': {'A': 2, 'B': 1}, '4': {'A': 2, 'B': 1}}
1	22300000	22325419	cn={'2': {'A': 2, 'B': 1}, '4': {'A': 2, 'B': 1}}
1	22325420	22349999	cn={'2': {'A': 2, 'B': 2}, '4': {'A': 2, 'B': 2}}
1	22350000	22449999	cn={'2': {'A': 2, 'B': 2}, '4': {'A': 2, 'B': 2}}
1	22450000	22452282	cn={'2': {'A': 2, 'B': 2}, '4': {'A': 2, 'B': 2}}
1	22452283	22649999	cn={'2': {'A': 2, 'B': 1}, '4': {'A': 2, 'B': 1}}
1	22650000	22699999	cn={'2': {'A': 2, 'B': 1}, '4': {'A': 2, 'B': 1}}
1	22700000	22849999	cn={'2': {'A': 2, 'B': 1}, '4': {'A': 2, 'B': 1}}
1	22850000	22899999	cn={'2': {'A': 2, 'B': 1}, '4': {'A': 2, 'B': 1}}
1	22900000	24249999	cn={'2': {'A': 2, 'B': 1}, '4': {'A': 2, 'B': 1}}
1	24250000	24254293	cn={'2': {'A': 2, 'B': 1}, '4': {'A': 2, 'B': 1}}
1	24254294	24299999	cn={'2': {'A': 3, 'B': 1}, '4': {'A': 3, 'B': 1}}
1	24300000	24349999	cn={'2': {'A': 3, 'B': 1}, '4': {'A': 3, 'B': 1}}
1	24350000	24699999	cn={'2': {'A': 3, 'B': 1}, '4': {'A': 3, 'B': 1}}
1	24700000	24721046	cn={'2': {'A': 3, 'B': 1}, '4': {'A': 3, 'B': 1}}
1	24721047	24749999	cn={'2': {'A': 2, 'B': 1}, '4': {'A': 2, 'B': 1}}
1	24750000	25649999	cn={'2': {'A': 2, 'B': 1}, '4': {'A': 2, 'B': 1}}
1	25650000	25699999	cn={'2': {'A': 2, 'B': 1}, '4': {'A': 2, 'B': 1}}
1	25700000	25774999	cn={'2': {'A': 2, 'B': 1}, '4': {'A': 2, 'B': 1}}
1	25775000	27149999	cn={'2': {'A': 2, 'B': 1}, '4': {'A': 2, 'B': 1}}
1	27150000	27161514	cn={'2': {'A': 2, 'B': 1}, '4': {'A': 2, 'B': 1}}
1	27161515	27199999	cn={'2': {'A': 2, 'B': 0}, '4': {'A': 2, 'B': 0}}
1	27200000	27399999	cn={'2': {'A': 2, 'B': 0}, '4': {'A': 2, 'B': 0}}
1	27400000	27449999	cn={'2': {'A': 2, 'B': 0}, '4': {'A': 2, 'B': 0}}
1	27450000	30299999	cn={'2': {'A': 2, 'B': 0}, '4': {'A': 2, 'B': 0}}
1	30300000	30349999	cn={'2': {'A': 2, 'B': 0}, '4': {'A': 2, 'B': 0}}
1	30350000	31099999	cn={'2': {'A': 2, 'B': 0}, '4': {'A': 2, 'B': 0}}
1	31100000	31149999	cn={'2': {'A': 2, 'B': 0}, '4': {'A': 2, 'B': 0}}
1	31150000	33449999	cn={'2': {'A': 2, 'B': 0}, '4': {'A': 2, 'B': 0}}
1	33450000	33499999	cn={'2': {'A': 2, 'B': 0}, '4': {'A': 2, 'B': 0}}
1	33500000	33536198	cn={'2': {'A': 2, 'B': 0}, '4': {'A': 2, 'B': 0}}
1	33536199	33536933	cn={'2': {'A': 2, 'B': 0}, '4': {'A': 2, 'B': 0}}
1	33536934	33537378	cn={'2': {'A': 2, 'B': 0}, '4': {'A': 2, 'B': 0}}
1	33537379	37149999	cn={'2': {'A': 2, 'B': 0}, '4': {'A': 2, 'B': 0}}
1	37150000	37199999	cn={'2': {'A': 2, 'B': 0}, '4': {'A': 2, 'B': 0}}
1	37200000	38449999	cn={'2': {'A': 2, 'B': 0}, '4': {'A': 2, 'B': 0}}
1	38450000	38459835	cn={'2': {'A': 2, 'B': 0}, '4': {'A': 2, 'B': 0}}
1	38459836	38495240	cn={'2': {'A': 3, 'B': 0}, '4': {'A': 3, 'B': 0}}
1	38495241	38499999	cn={'2': {'A': 2, 'B': 0}, '4': {'A': 2, 'B': 0}}
1	38500000	39599999	cn={'2': {'A': 2, 'B': 0}, '4': {'A': 2, 'B': 0}}
1	39600000	39649999	cn={'2': {'A': 2, 'B': 0}, '4': {'A': 2, 'B': 0}}
1	39650000	39699999	cn={'2': {'A': 2, 'B': 0}, '4': {'A': 2, 'B': 0}}
1	39700000	39749999	cn={'2': {'A': 2, 'B': 0}, '4': {'A': 2, 'B': 0}}
1	39750000	39949999	cn={'2': {'A': 2, 'B': 0}, '4': {'A': 2, 'B': 0}}
1	39950000	39999999	cn={'2': {'A': 2, 'B': 0}, '4': {'A': 2, 'B': 0}}
1	40000000	41449999	cn={'2': {'A': 2, 'B': 0}, '4': {'A': 2, 'B': 0}}
1	41450000	41464557	cn={'2': {'A': 2, 'B': 0}, '4': {'A': 2, 'B': 0}}
1	41464558	41491895	cn={'2': {'A': 3, 'B': 0}, '4': {'A': 3, 'B': 0}}
1	41491896	41499999	cn={'2': {'A': 2, 'B': 0}, '4': {'A': 2, 'B': 0}}
1	41500000	42499999	cn={'2': {'A': 2, 'B': 0}, '4': {'A': 2, 'B': 0}}
